driver,interpretation,u_star,alpha,absolute_alpha,direct_probability_authoritative,continuous_monte_carlo_probability,monte_carlo_standard_error,form_probability_approximate,beta,g_at_design_point,alpha_norm_sum,stationarity_residual_inf,finite_difference_plateau_stable,distinct_design_point_clusters
U1,local design-point importance at DV=1; LAI driver,-0.32200378393151086,0.26273986295475965,0.26273986295475965,0.09591450211754649,0.095851,0.0002943867962375351,0.11018187469032242,1.2255614575907634,6.417089082333405e-14,0.9999999999999998,6.878447891822681e-08,True,1
U2,local design-point importance at DV=1; TFP-given-LAI driver,-0.2670877121208008,0.2179308317562805,0.2179308317562805,0.09591450211754649,0.095851,0.0002943867962375351,0.11018187469032242,1.2255614575907634,6.417089082333405e-14,0.9999999999999998,6.878447891822681e-08,True,1
U3,local design-point importance at DV=1; DV-given-TFP driver,1.1519455731499912,-0.9399329321736364,0.9399329321736364,0.09591450211754649,0.095851,0.0002943867962375351,0.11018187469032242,1.2255614575907634,6.417089082333405e-14,0.9999999999999998,6.878447891822681e-08,True,1
